TIMESTAMP,ENCODER_POS_1,ENCODER_POS_2,ENCODER_POS_3,ENCODER_POS_4,ENCODER_POS_5,ENCODER_POS_6,ENCODER_POS_7,ENCODER_VEL_1,ENCODER_VEL_2,ENCODER_VEL_3,ENCODER_VEL_4,ENCODER_VEL_5,ENCODER_VEL_6,ENCODER_VEL_7,MOTOR_CURRENT_1,MOTOR_CURRENT_2,MOTOR_CURRENT_3,MOTOR_CURRENT_4,MOTOR_CURRENT_5,MOTOR_CURRENT_6,MOTOR_CURRENT_7,MOTOR_CURRENT_8,MOTOR_CURRENT_9,MOTOR_CURRENT_10,MOTOR_STATUS_1,MOTOR_STATUS_2,MOTOR_STATUS_3,MOTOR_STATUS_4,MOTOR_STATUS_5,MOTOR_STATUS_6,MOTOR_STATUS_7,MOTOR_STATUS_8,MOTOR_STATUS_9,MOTOR_STATUS_10
0.000331146,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42276,32358,32968,32763,33228,32774,34048,34049,28768,32939,42277,32358,32964,32764,33229,32776,34048,34048,28768
0.001003692,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42278,32358,32959,32763,33230,32778,34046,34046,28768,32939,42277,32358,32964,32764,33229,32776,34048,34048,28768
0.002003208,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32939,42276,32356,32963,32763,33228,32774,34049,34046,28767,32939,42277,32358,32964,32764,33229,32777,34048,34048,28768
0.003003366,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42277,32358,32964,32763,33229,32776,34047,34050,28769,32939,42277,32358,32964,32764,33229,32777,34048,34048,28768
0.004004238,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32939,42276,32357,32963,32766,33228,32776,34047,34049,28766,32939,42277,32358,32964,32764,33229,32777,34048,34048,28768
0.005003712,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32939,42277,32357,32962,32764,33228,32777,34047,34047,28767,32939,42277,32358,32964,32764,33229,32777,34048,34048,28768
0.006004248,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42276,32359,32963,32763,33228,32776,34045,34046,28767,32939,42277,32358,32964,32764,33229,32778,34048,34048,28768
0.007004088,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42277,32356,32965,32762,33230,32778,34049,34048,28767,32939,42277,32358,32964,32764,33229,32778,34048,34048,28768
0.008003772,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42276,32359,32960,32765,33228,32777,34046,34047,28767,32939,42277,32358,32964,32764,33229,32778,34048,34048,28768
0.009003828,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32940,42277,32357,32965,32762,33230,32778,34049,34047,28767,32939,42277,32358,32964,32764,33229,32779,34048,34048,28768
0.010004016,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32937,42277,32357,32963,32766,33228,32779,34051,34048,28767,32939,42277,32358,32964,32764,33229,32779,34048,34048,28768
0.011004258,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32940,42276,32358,32964,32762,33228,32777,34048,34048,28767,32939,42277,32358,32964,32764,33230,32779,34048,34048,28768
0.012003288,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42276,32358,32963,32764,33229,32779,34047,34048,28766,32939,42277,32358,32964,32764,33230,32779,34048,34048,28768
0.013020474,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32939,42276,32357,32964,32763,33228,32779,34049,34048,28770,32939,42277,32359,32964,32764,33230,32780,34048,34048,28768
0.014004084,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42276,32359,32964,32763,33231,32778,34048,34049,28767,32939,42277,32359,32964,32764,33230,32780,34048,34048,28768
0.015003894,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32939,42277,32358,32965,32764,33229,32780,34047,34046,28767,32939,42277,32359,32964,32764,33230,32780,34048,34048,28768
0.016004208,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32938,42276,32359,32962,32765,33229,32779,34049,34047,28767,32939,42277,32359,32964,32764,33230,32781,34048,34048,28768
0.017004048,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32939,42276,32358,32964,32762,33229,32781,34047,34047,28767,32939,42277,32359,32964,32764,33230,32781,34048,34048,28768
0.018003378,8379252,9130143,7485273,8388659,8388556,8388567,8388568,1.19209289551,0,0,0,0,0,0,32937,42277,32359,32963,32765,33230,32781,34044,34047,28766,32939,42277,32359,32964,32764,33230,32781,34048,34048,28768
